Month,Portfolio_Return_%,Nifty_Return_%,Outperformance_%,Num_Stocks
Feb 2024,-3.91,0.85,-4.76,3
Mar 2024,1.5,1.56,-0.06,3
Apr 2024,0.76,3.07,-2.31,3
May 2024,2.85,5.86,-3.01,3
Jun 2024,5.57,3.63,1.93,3
Jul 2024,3.33,0.96,2.37,3
Aug 2024,3.45,5.7,-2.25,3
Sep 2024,0.35,-3.88,4.23,3
Oct 2024,-1.61,-4.59,2.98,3
Nov 2024,4.34,1.17,3.17,3
Dec 2024,-7.8,-5.93,-1.87,3
Jan 2025,2.73,-1.8,4.53,3
